signal,benchmark_type,sample_name,specification,coefficient,is_focus_regressor,n_obs,r_squared,coefficient_value,t_stat,p_value
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,beta,False,2902,0.012150493159880149,0.0005562539847782657,0.0541982608006308,0.9567772063298216
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,bm,False,2902,0.012150493159880149,-0.0037566976734685655,-0.213872776262174,0.8306462704236821
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,const,False,2902,0.012150493159880149,-0.06726444291567772,-0.586511648606372,0.5575317359251826
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,idiovol,False,2902,0.012150493159880149,0.10146130074560031,0.41098106451377364,0.6810864194333573
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,ill,False,2902,0.012150493159880149,389.15009412615,1.285261896183877,0.19870078063727747
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,maxret,False,2902,0.012150493159880149,-0.5054168424376639,-1.8514957787383288,0.06409826146695921
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,mom1m,False,2902,0.012150493159880149,-0.017090088051149355,-0.3584700839814656,0.719991551893532
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,mve,False,2902,0.012150493159880149,0.0037311417698635014,0.441619013378259,0.6587649229562929
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,retvol,False,2902,0.012150493159880149,1.9227723657115297,1.6668150856077386,0.09555117961440321
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,std_dolvol,False,2902,0.012150493159880149,0.034750840844548894,1.7417877519553608,0.08154559067093409
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,std_turn,False,2902,0.012150493159880149,-0.00018094932770047818,-0.32163787675379174,0.7477270458527258
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,turn,False,2902,0.012150493159880149,-0.0005026766421520957,-0.10845802158938365,0.9136323779465851
FEPS,fixed_x_obs,outside_signal_coverage,mar_signal_only,x_mar_filled,True,2902,0.012150493159880149,4.101629843195238e-05,0.0076182447788473995,0.9939215789068138
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,age,False,2902,0.012150493159880149,-0.0014886502205767385,-1.617258150729055,0.10582256871452818
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,baspread,False,2902,0.012150493159880149,-0.6130227837543103,-1.6139162869859283,0.10654558540216957
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,beta,False,2902,0.012150493159880149,0.0005562539847782657,0.0541982608006308,0.9567772063298216
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,bm,False,2902,0.012150493159880149,-0.0037566976734685655,-0.213872776262174,0.8306462704236821
