signal,benchmark_type,sample_name,specification,coefficient,is_focus_regressor,month_count,mean_coefficient,t_stat,p_value,positive_month_share,coefficient_std,mean_cross_section_nobs,mean_cross_section_r2
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,std_dolvol,False,360,-0.0035217482917964706,-2.313911573695588,0.020672573128216666,0.4638888888888889,0.03412238782709887,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,std_turn,False,360,0.00013176443410320367,2.5944690692420433,0.009473713745079292,0.55,0.0009410292230048236,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,baseline_missing_only,turn,False,360,-0.0011907087360194333,-3.52433559498633,0.000424546178598815,0.3972222222222222,0.007335459830750554,3984.1833333333334,0.05716520463422798
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,age,False,360,1.923013161911635e-05,0.6128321198840139,0.5399873503255372,0.5361111111111111,0.0005586194178568228,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,baspread,False,360,-0.05892790008111065,-1.1800949089800346,0.23796246923246067,0.40555555555555556,0.7657938646208311,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,beta,False,360,0.0008107661471228017,0.530410204979746,0.5958275520608267,0.5055555555555555,0.026862349079664172,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,bm,False,360,0.0008906300956911242,0.7787396537933878,0.4361330921966631,0.5277777777777778,0.016416214303773515,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,const,False,360,0.02752558596361101,4.594219334101737,4.343723194756866e-06,0.5833333333333334,0.1063362412376091,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,idiovol,False,360,0.028880667628803806,1.1907266687901883,0.23376090489831436,0.5166666666666667,0.43035214430870444,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,ill,False,360,906.101848162021,1.7434375850602146,0.08125720785043374,0.5916666666666667,11230.488014855082,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,maxret,False,360,-0.031767637178020815,-2.694931478975142,0.007040310736761435,0.44166666666666665,0.22582252118794724,3984.1833333333334,0.05690529973122929
